date,start_stop_alige_count_,start_stop_alige_count_Alive,start_stop_alige_count_Start,start_stop_alige_count_Stop,type__count_Billing-Accounting,type__count_Billing-Authentication,mean_delay,mean_input_trafic,mean_output_trafic,count_failed
2020-04-29 16:00:00,55095,171131,57282,29019,286301,26226,0.20178180064722265,2889641958.2861648,12651418876.24186,2348
2020-04-29 17:00:00,56225,210304,61558,29243,330235,27095,0.20653554877816085,3745314958.239636,15728163825.544325,2260
2020-04-29 18:00:00,53824,181032,58431,27333,294653,25967,0.2020812587416753,2891907950.369371,12852848278.899988,2278
2020-04-29 19:00:00,50322,206105,52153,24757,307957,25380,0.2127290616481882,3706005572.7559366,15668690993.793169,2275
2020-04-29 20:00:00,50360,198633,51397,26889,302395,24884,0.2298808696997367,2808460245.496932,12839388906.9069,2314
2020-04-29 21:00:00,51708,186516,49421,33050,296872,23823,0.2682361794918021,3790618920.5797663,15322817331.008024,2258
2020-04-29 22:00:00,52716,213326,45601,38539,328431,21751,0.2473888818139277,2796951223.4558234,12844555902.684849,2212
2020-04-29 23:00:00,48471,164506,38939,34289,265934,20271,0.3225145767485057,3942510379.737453,16019985643.906147,2173
2020-04-30 00:00:00,38211,243701,30163,27959,322014,18020,0.33155459630505074,2865445532.135456,12732121871.02592,2061
2020-04-30 01:00:00,33675,172175,25286,19842,234007,16971,0.2255184745042001,4097210655.870215,16512958621.797491,2075
2020-04-30 02:00:00,31326,199362,21429,15065,250783,16399,0.2294398939842366,2857841159.3923807,13218659496.138304,2154
2020-04-30 03:00:00,30107,129598,22513,11206,176770,16654,0.2177510565591044,3940265238.608698,16948064606.00379,2613
2020-04-30 04:00:00,29594,185877,21295,9855,230645,15976,0.2287108497615704,3249626828.0913496,14326369241.82552,2165
2020-04-30 05:00:00,30043,126159,25789,10074,175608,16457,0.21163381155205088,4024261437.633011,16922890924.674543,2126
2020-04-30 06:00:00,32531,228348,35208,13770,292071,17786,0.22038176767461887,3624809994.9048476,15282724740.552094,2093
2020-04-30 07:00:00,38956,159359,50808,18129,246211,21041,0.197033367582804,3681796898.9111037,16048266060.717398,1994
2020-04-30 08:00:00,44642,204900,62835,20646,308801,24222,0.20929839427319655,3988521854.880858,16562986703.03155,2101
2020-04-30 09:00:00,46213,149379,58151,24473,254484,23732,0.20985016838520806,3497809712.2541127,15529445795.256466,2161
2020-04-30 10:00:00,50706,226811,59475,28472,340897,24567,0.2368567260266613,3591732648.011897,15456360101.56321,2259
2020-04-30 11:00:00,59182,156490,79009,43317,311546,26452,0.2049515760281902,3048772333.77221,13437996302.724844,2231
2020-04-30 12:00:00,56693,221397,65416,33033,349867,26672,0.19340182323570693,3709962326.4788423,15685473017.275078,2398
2020-04-30 13:00:00,56142,165377,60893,31043,286776,26679,0.19378780495221665,2918968221.62431,12776655193.171236,2344
2020-04-30 14:00:00,55423,221661,57487,29618,337279,26910,0.19760905910458434,3780004196.13321,16131645824.526337,2329
2020-04-30 15:00:00,55617,172352,59049,29679,288934,27763,0.18851042836071505,2904563642.23386,12591708276.240385,2330
2020-04-30 16:00:00,52337,218693,52395,28791,325845,26371,0.20376898828196705,3851795483.2577343,16457816806.24511,2264
2020-04-30 17:00:00,47320,174314,46028,23142,264961,25843,0.20018917874551287,3036184311.995725,13266853950.493351,2365
2020-04-30 18:00:00,43929,214850,42049,21632,298010,24450,0.20932252917838107,3922967500.5288944,16678101692.612885,2414
2020-04-30 19:00:00,42011,186463,40886,20042,265296,24106,0.2146244420527419,3004970482.5813465,13480728627.980577,2359
2020-04-30 20:00:00,41246,207481,38500,21764,285635,23356,0.2368091968697952,3886281044.9802704,16496782766.267998,2331
2020-04-30 21:00:00,41732,198896,33820,25305,277116,22637,0.27279992921989016,2958168739.2961183,13550034873.724586,2275
2020-04-30 22:00:00,40011,185654,28278,29384,263454,19873,0.2526320802388953,3996346756.0684295,16224776664.890738,2274
2020-04-30 23:00:00,39398,203730,26043,29194,278667,19698,0.29446479988156343,3162601589.783942,14606075223.84304,2257
2020-05-01 00:00:00,6768,36232,3906,5479,48690,3695,0.3093667156878593,3179949644.392942,12579806476.971422,428
